model,signal,bin_lo,bin_hi,bin_mid,bin_count,avg_predicted,avg_observed,bin_ece_contrib
Qwen,entropy_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,13,0.669041958980812,0.23076923076923078,0.02848772733375278
Qwen,entropy_global,0.7000000000000001,0.8,0.75,56,0.7535894584871718,0.10714285714285714,0.18100504837640816
Qwen,entropy_global,0.8,0.9,0.8500000000000001,51,0.8477405368219364,0.23529411764705882,0.15617383688959377
Qwen,entropy_global,0.9,1.0,0.95,78,0.9793756530621459,0.9871794871794872,0.003043495305763112
Qwen,entropy_per_model,0.0,0.1,0.05,3,0.048352918521766076,0.6666666666666666,0.009274706222173508
Qwen,entropy_per_model,0.1,0.2,0.15000000000000002,2,0.15770034054512544,0.5,0.0034229965945487455
Qwen,entropy_per_model,0.2,0.30000000000000004,0.25,10,0.24475899928759554,0.2,0.0022379499643797765
Qwen,entropy_per_model,0.30000000000000004,0.4,0.35000000000000003,22,0.35692405782010755,0.09090909090909091,0.029261646360211835
Qwen,entropy_per_model,0.4,0.5,0.45,28,0.4479554106018248,0.10714285714285714,0.04771375748425548
Qwen,entropy_per_model,0.5,0.6000000000000001,0.55,24,0.5514816801373533,0.20833333333333334,0.04117780161648239
Qwen,entropy_per_model,0.6000000000000001,0.7000000000000001,0.6500000000000001,21,0.6541695761846997,0.09523809523809523,0.05868780549939347
Qwen,entropy_per_model,0.7000000000000001,0.8,0.75,16,0.7469846080228327,0.5625,0.014758768641826618
Qwen,entropy_per_model,0.8,0.9,0.8500000000000001,10,0.8625766286930936,1.0,0.0068711685653453205
Qwen,entropy_per_model,0.9,1.0,0.95,64,0.9755864898844122,1.0,0.007812323236988093
Qwen,self_report_raw,0.0,0.1,0.05,106,0.00849056603773585,0.6415094339622641,0.33549999999999996
Qwen,self_report_raw,0.1,0.2,0.15000000000000002,6,0.12166666666666666,0.6666666666666666,0.016349999999999996
Qwen,self_report_raw,0.2,0.30000000000000004,0.25,5,0.254,1.0,0.01865
Qwen,self_report_raw,0.30000000000000004,0.4,0.35000000000000003,1,0.31,0.0,0.00155
Qwen,self_report_raw,0.4,0.5,0.45,2,0.43000000000000005,1.0,0.005699999999999999
Qwen,self_report_raw,0.5,0.6000000000000001,0.55,2,0.55,1.0,0.0045
Qwen,self_report_raw,0.6000000000000001,0.7000000000000001,0.6500000000000001,1,0.7,1.0,0.0015000000000000002
Qwen,self_report_raw,0.7000000000000001,0.8,0.75,0,,,0.0
Qwen,self_report_raw,0.8,0.9,0.8500000000000001,0,,,0.0
Qwen,self_report_raw,0.9,1.0,0.95,77,0.9987012987012988,0.23376623376623376,0.29450000000000004
Qwen,self_report_inverted,0.0,0.1,0.05,77,0.0012987012987012985,0.23376623376623376,0.0895
Qwen,self_report_inverted,0.1,0.2,0.15000000000000002,0,,,0.0
Qwen,self_report_inverted,0.2,0.30000000000000004,0.25,0,,,0.0
Qwen,self_report_inverted,0.30000000000000004,0.4,0.35000000000000003,1,0.30000000000000004,1.0,0.0034999999999999996
Qwen,self_report_inverted,0.4,0.5,0.45,1,0.4,1.0,0.003
Qwen,self_report_inverted,0.5,0.6000000000000001,0.55,3,0.5466666666666667,1.0,0.006799999999999999
